Frequency-Table:

Symbol	Frequency
  e		11.97 %
  r		8.13 %
  n		8.11 %
  t		7.19 %
  i		6.78 %
  a		6.41 %
  o		5.82 %
  l		4.69 %
  u		3.71 %
  m		3.42 %
  s		2.85 %
  c		2.48 %
  p		2.26 %
  g		2.23 %
  d		2.21 %
  f		2.17 %
  y		1.97 %
  S		1.89 %
  w		1.82 %
  b		1.39 %
  C		1.15 %
  h		 .98 %
  E		 .77 %
  v		 .76 %
  L		 .71 %
  I		 .57 %
  R		 .56 %
  T		 .56 %
  O		 .55 %
  k		 .54 %
  P		 .52 %
  B		 .49 %
  z		 .44 %
  G		 .40 %
  q		 .38 %
  0		 .34 %
  x		 .32 %
  1		 .31 %
  N		 .31 %
  M		 .29 %
  D		 .24 %
  F		 .24 %
  W		 .21 %
  A		 .20 %
  2		 .12 %
  j		 .11 %
  3		 .07 %
  V		 .06 %
  X		 .06 %
  Q		 .05 %
  H		 .04 %
  9		 .03 %
  U		 .03 %
  Y		 .03 %
  4		 .02 %
  K		 .02 %
  6		 .01 %
  J		 .01 %
  Z		 .01 %


Code-Table:

Symbol	Huffman Codes
  e			011
  r			000
  n			1110
  t			1011
  i			1010
  a			1001
  o			0101
  l			11110
  u			11001
  m			10001
  s			01001
  c			111111
  p			00111
  g			00110
  d			00101
  f			110111
  y			110101
  S			110100
  w			110001
  b			100000
  C			1111100
  h			1101100
  E			1000011
  v			1000010
  L			0100011
  I			0100000
  R			0010011
  T			11111010
  O			0010010
  k			0010001
  P			11011011
  B			11000011
  z			11000001
  G			11000000
  q			01000010
  0			01000101
  x			01000100
  1			111110111
  N			111110110
  M			00100001
  D			110110100
  F			00100000
  W			110000100
  A			010000111
  2			1100001011
  j			0100001101
  3			11011010111
  V			11000010101
  X			11011010110
  Q			11000010100
  H			01000011001
  9			110110101001
  U			110110101010
  Y			110110101000
  4			010000110000
  K			1101101010111
  6			0100001100010
  J			0100001100011
  Z			1101101010110

Total Bits : 460


